表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,SpecialityCat,专业类别,int,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,Degree,学历,int,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,SpecialityDesc,专业描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Geo（个人地理位置）,UserID,个人用户ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Geo（个人地理位置）,geo,地理位置,geography,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,JobExpID,经历ID,int,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,UserID,用户个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,StartTime,开始时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,EndTime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,CompanyName,企业名称,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,CompanySize,企业规模,int,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,CompanyCat,企业类别,int,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,CompanyDept,企业部门,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,JobPos,职位,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,MonthSalary,月薪,int,,,,,,,,,,,,,,,,,,
TB_Person_JobExp（个人工作经历）,JobDesc,职位描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_OtherInfo（其他信息）,OtherInfoID,ID,int,,,,,,,,,,,,,,,,,,
TB_Person_OtherInfo（其他信息）,UserID,用户个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_OtherInfo（其他信息）,Title,标题,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_OtherInfo（其他信息）,Detail,描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,PrjID,项目ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,UserID,用户个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,StartTime,开始时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,EndTime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Prj（项目经验）,PrjName,项目名称,nvarchar,,,,,,,,,,,,,,,,,,
